index,Test_Time,Step_Time,Cycle_Index,Step_Index,Voltage,Test_Time,Step_Time,Cycle_Index,Step_Index,Current,Test_Time,Step_Time,Cycle_Index,Step_Index,Charge_Capacity,Test_Time,Step_Time,Cycle_Index,Step_Index,Discharge_Capacity,Test_Time,Step_Time,Cycle_Index,Step_Index,Charge_Energy,Test_Time,Step_Time,Cycle_Index,Step_Index,Discharge_Energy,Test_Time,Step_Time,Cycle_Index,Step_Index,dV/dt
0,120.0047,120.0046,1,1,3.58037042617798,120.0047,120.0046,1,1,0,120.0047,120.0046,1,1,0,120.0047,120.0046,1,1,0,120.0047,120.0046,1,1,0,120.0047,120.0046,1,1,0,120.0047,120.0046,1,1,-5.53131103515625E-05
1,240.0057,240.0056,1,1,3.58151197433472,240.0057,240.0056,1,1,0,240.0057,240.0056,1,1,0,240.0057,240.0056,1,1,0,240.0057,240.0056,1,1,0,240.0057,240.0056,1,1,0,240.0057,240.0056,1,1,-7.2479248046875E-05
2,360.0022,360.0021,1,1,3.58203554153442,360.0022,360.0021,1,1,0,360.0022,360.0021,1,1,0,360.0022,360.0021,1,1,0,360.0022,360.0021,1,1,0,360.0022,360.0021,1,1,0,360.0022,360.0021,1,1,3.33786010742187E-05
3,480.0022,480.0021,1,1,3.58209848403931,480.0022,480.0021,1,1,0,480.0022,480.0021,1,1,0,480.0022,480.0021,1,1,0,480.0022,480.0021,1,1,0,480.0022,480.0021,1,1,0,480.0022,480.0021,1,1,-1.23977661132813E-05
4,600.0002,600.0001,1,1,3.58177804946899,600.0002,600.0001,1,1,0,600.0002,600.0001,1,1,0,600.0002,600.0001,1,1,0,600.0002,600.0001,1,1,0,600.0002,600.0001,1,1,0,600.0002,600.0001,1,1,-9.5367431640625E-07
5,720.0033,720.0032,1,1,3.58150053024292,720.0033,720.0032,1,1,0,720.0033,720.0032,1,1,0,720.0033,720.0032,1,1,0,720.0033,720.0032,1,1,0,720.0033,720.0032,1,1,0,720.0033,720.0032,1,1,4.38690185546875E-05
6,840.0033,840.0032,1,1,3.58102369308472,840.0033,840.0032,1,1,0,840.0033,840.0032,1,1,0,840.0033,840.0032,1,1,0,840.0033,840.0032,1,1,0,840.0033,840.0032,1,1,0,840.0033,840.0032,1,1,-4.9591064453125E-05
7,960.0011,960.001,1,1,3.5806097984314,960.0011,960.001,1,1,0,960.0011,960.001,1,1,0,960.0011,960.001,1,1,0,960.0011,960.001,1,1,0,960.0011,960.001,1,1,0,960.0011,960.001,1,1,-2.95639038085937E-05
8,1080.0009,1080.0008,1,1,3.58043718338013,1080.0009,1080.0008,1,1,0,1080.0009,1080.0008,1,1,0,1080.0009,1080.0008,1,1,0,1080.0009,1080.0008,1,1,0,1080.0009,1080.0008,1,1,0,1080.0009,1080.0008,1,1,-9.5367431640625E-06
9,1200.0045,1200.0044,1,1,3.5805172920227,1200.0045,1200.0044,1,1,0,1200.0045,1200.0044,1,1,0,1200.0045,1200.0044,1,1,0,1200.0045,1200.0044,1,1,0,1200.0045,1200.0044,1,1,0,1200.0045,1200.0044,1,1,2.288818359375E-05
10,1320.0032,1320.0031,1,1,3.58056688308716,1320.0032,1320.0031,1,1,0,1320.0032,1320.0031,1,1,0,1320.0032,1320.0031,1,1,0,1320.0032,1320.0031,1,1,0,1320.0032,1320.0031,1,1,0,1320.0032,1320.0031,1,1,3.62396240234375E-05
11,1440.0038,1440.0037,1,1,3.58046007156372,1440.0038,1440.0037,1,1,0,1440.0038,1440.0037,1,1,0,1440.0038,1440.0037,1,1,0,1440.0038,1440.0037,1,1,0,1440.0038,1440.0037,1,1,0,1440.0038,1440.0037,1,1,1.9073486328125E-05
12,1560.0029,1560.0028,1,1,3.58048963546753,1560.0029,1560.0028,1,1,0,1560.0029,1560.0028,1,1,0,1560.0029,1560.0028,1,1,0,1560.0029,1560.0028,1,1,0,1560.0029,1560.0028,1,1,0,1560.0029,1560.0028,1,1,3.4332275390625E-05
13,1680.0035,1680.0034,1,1,3.58040761947632,1680.0035,1680.0034,1,1,0,1680.0035,1680.0034,1,1,0,1680.0035,1680.0034,1,1,0,1680.0035,1680.0034,1,1,0,1680.0035,1680.0034,1,1,0,1680.0035,1680.0034,1,1,-6.103515625E-05
14,1800.0036,1800.0035,1,1,3.5804705619812,1800.0036,1800.0035,1,1,0,1800.0036,1800.0035,1,1,0,1800.0036,1800.0035,1,1,0,1800.0036,1800.0035,1,1,0,1800.0036,1800.0035,1,1,0,1800.0036,1800.0035,1,1,1.52587890625E-05
15,1920.0023,1920.0022,1,1,3.5804877281189,1920.0023,1920.0022,1,1,0,1920.0023,1920.0022,1,1,0,1920.0023,1920.0022,1,1,0,1920.0023,1920.0022,1,1,0,1920.0023,1920.0022,1,1,0,1920.0023,1920.0022,1,1,7.72476196289062E-05
16,2040.0007,2040.0006,1,1,3.58051443099976,2040.0007,2040.0006,1,1,0,2040.0007,2040.0006,1,1,0,2040.0007,2040.0006,1,1,0,2040.0007,2040.0006,1,1,0,2040.0007,2040.0006,1,1,0,2040.0007,2040.0006,1,1,-7.62939453125E-06
17,2160.0033,2160.0032,1,1,3.58049917221069,2160.0033,2160.0032,1,1,0,2160.0033,2160.0032,1,1,0,2160.0033,2160.0032,1,1,0,2160.0033,2160.0032,1,1,0,2160.0033,2160.0032,1,1,0,2160.0033,2160.0032,1,1,1.04904174804688E-05
18,2280.0009,2280.0008,1,1,3.5805459022522,2280.0009,2280.0008,1,1,0,2280.0009,2280.0008,1,1,0,2280.0009,2280.0008,1,1,0,2280.0009,2280.0008,1,1,0,2280.0009,2280.0008,1,1,0,2280.0009,2280.0008,1,1,-2.09808349609375E-05
19,2400.0055,2400.0054,1,1,3.58054876327515,2400.0055,2400.0054,1,1,0,2400.0055,2400.0054,1,1,0,2400.0055,2400.0054,1,1,0,2400.0055,2400.0054,1,1,0,2400.0055,2400.0054,1,1,0,2400.0055,2400.0054,1,1,7.43865966796875E-05
20,2520.0033,2520.0032,1,1,3.58064031600952,2520.0033,2520.0032,1,1,0,2520.0033,2520.0032,1,1,0,2520.0033,2520.0032,1,1,0,2520.0033,2520.0032,1,1,0,2520.0033,2520.0032,1,1,0,2520.0033,2520.0032,1,1,-2.6702880859375E-05
21,2640.0034,2640.0033,1,1,3.58060789108276,2640.0034,2640.0033,1,1,0,2640.0034,2640.0033,1,1,0,2640.0034,2640.0033,1,1,0,2640.0034,2640.0033,1,1,0,2640.0034,2640.0033,1,1,0,2640.0034,2640.0033,1,1,-0.000104904174805
